company_id,period,year,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,capital_allocation_pattern
BAJFINANCE,Mar 2023,2023.0,-52506.0,10394.0,25.09961121441163,-456.25651720542237,FCF Negative
BAJFINANCE,Mar 2024,2024.0,-79931.0,7171.0,13.044822818889617,-553.1174313196319,FCF Negative
BAJFINANCE,Sep 2024,2024.0,,,,,FCF Negative
BAJFINANCE,TTM,,,,,,FCF Negative
BANKBARODA,Mar 2013,2013.0,22682.0,514.0,1.410460457713627,469.70387243735763,FCF Positive
BANKBARODA,Mar 2014,2014.0,41503.0,730.0,1.8041173417690237,824.1262907069104,FCF Positive
BANKBARODA,Mar 2015,2015.0,17282.0,556.0,1.2378937993988643,437.5189873417722,FCF Positive
BANKBARODA,Mar 2016,2016.0,-14016.0,4005.0,8.744732417738378,278.48201867673356,FCF Negative
BANKBARODA,Mar 2017,2017.0,17314.0,551.0,1.238953972072943,933.3692722371968,FCF Positive
BANKBARODA,Mar 2018,2018.0,-60106.0,414.0,0.8989056800416885,3273.747276688453,FCF Negative
BANKBARODA,Mar 2019,2019.0,-3986.0,2537.0,4.795297319774694,-341.852487135506,FCF Negative
BANKBARODA,Mar 2020,2020.0,18392.0,139.0,0.1761835350782686,1874.8216106014272,FCF Positive
BANKBARODA,Mar 2021,2021.0,-1358.0,471.0,0.6337971310923918,-83.82716049382715,FCF Negative
BANKBARODA,Mar 2022,2022.0,2565.0,3645.0,4.9669550998160386,32.33329131476113,FCF Positive
BANKBARODA,Mar 2023,2023.0,-22450.0,1096.0,1.159751542279081,-149.61679440186603,FCF Negative
BANKBARODA,Mar 2024,2024.0,-7559.0,1285.0,1.0854965830088108,-40.06041655625629,FCF Negative
BANKBARODA,TTM,,,,,,FCF Negative
BEL,Mar 2013,2013.0,-3292.0,1753.0,27.94516180455922,-361.36114160263446,FCF Negative
BEL,Mar 2014,2014.0,-1328.0,759.0,11.644676281067811,-139.49579831932772,FCF Negative
BEL,Mar 2015,2015.0,595.0,839.0,11.828563372338925,49.707602339181285,FCF Positive
BEL,Mar 2016,2016.0,790.0,1470.0,19.989121566494426,59.087509349289455,FCF Positive
BEL,Mar 2017,2017.0,-3176.0,3115.0,35.9865988909427,-208.53578463558767,FCF Negative
BEL,Mar 2018,2018.0,-693.0,6.0,0.05768676088837611,-48.42767295597484,FCF Negative
BEL,Mar 2019,2019.0,618.0,896.0,7.365998026964814,32.75039745627981,FCF Positive
BEL,Mar 2020,2020.0,1921.0,649.0,5.004626773596545,105.26027397260273,FCF Positive
BEL,Mar 2021,2021.0,2498.0,2595.0,18.392515415692113,118.95238095238095,FCF Positive
BEL,Mar 2022,2022.0,-665.0,4872.0,31.70223841749089,-27.708333333333336,FCF Negative
BEL,Mar 2023,2023.0,-1509.0,2708.0,15.270102627720764,-50.535833891493645,FCF Negative
BEL,Mar 2024,2024.0,-1265.0,5924.0,29.228340240773633,-31.74404015056462,FCF Negative
BEL,Sep 2024,2024.0,,,,,FCF Negative
BEL,TTM,,,,,,FCF Negative
BHARTIARTL,Mar 2013,2013.0,3932.0,18676.0,24.27125164073973,173.44508160564624,FCF Positive
BHARTIARTL,Mar 2014,2014.0,1052.0,25181.0,29.326609522034847,34.84597548857237,FCF Positive
BHARTIARTL,Mar 2015,2015.0,5758.0,22301.0,23.20579390432982,114.06497622820919,FCF Positive
BHARTIARTL,Mar 2016,2016.0,13851.0,14091.0,14.597232005966934,200.94298563760336,FCF Positive
BHARTIARTL,Mar 2017,2017.0,-2400.0,30680.0,32.13642267566095,-56.59042678613535,FCF Negative
BHARTIARTL,Mar 2018,2018.0,1914.0,27940.0,33.80970244073622,87.63736263736264,FCF Positive
BHARTIARTL,Mar 2019,2019.0,-8216.0,28286.0,35.01609309234959,-486.7298578199052,FCF Negative
BHARTIARTL,Mar 2020,2020.0,-11469.0,29598.0,33.81121557248769,37.40216540568745,FCF Negative
BHARTIARTL,Mar 2021,2021.0,20919.0,27286.0,27.118947284726087,-169.1928178582983,FCF Positive
BHARTIARTL,Mar 2022,2022.0,13539.0,41478.0,35.58907565188293,163.02227573750753,FCF Positive
BHARTIARTL,Mar 2023,2023.0,26093.0,39232.0,28.19504833087786,212.36265972165702,FCF Positive
BHARTIARTL,Mar 2024,2024.0,27809.0,51089.0,34.063420943846594,324.94741762093946,FCF Positive
BHARTIARTL,Sep 2024,2024.0,,,,,FCF Negative
BHARTIARTL,TTM,,,,,,FCF Negative
BHEL,Mar 2013,2013.0,646.0,1113.0,2.2759339917796453,9.651875093381145,FCF Positive
BHEL,Mar 2014,2014.0,3644.0,868.0,2.19408002831071,104.05482581382068,FCF Positive
BHEL,Mar 2015,2015.0,171.0,650.0,2.0751524438910702,11.793103448275861,FCF Positive
BHEL,Mar 2016,2016.0,351.0,23.0,0.09017839639286414,-49.71671388101983,FCF Positive
BHEL,Mar 2017,2017.0,-5.0,565.0,1.9848937291410504,-1.098901098901099,FCF Negative
BHEL,Mar 2018,2018.0,28.0,961.0,3.333680230339612,6.392694063926941,FCF Positive
BHEL,Mar 2019,2019.0,-5779.0,1919.0,6.303997897572352,-576.746506986028,FCF Negative
BHEL,Mar 2020,2020.0,-4769.0,1877.0,8.745282579322556,324.86376021798367,FCF Negative
BHEL,Mar 2021,2021.0,518.0,42.0,0.2426483332370443,-19.185185185185187,FCF Positive
BHEL,Mar 2022,2022.0,-458.0,1118.0,5.270850030644477,-102.92134831460673,FCF Negative
BHEL,Mar 2023,2023.0,-2221.0,1480.0,6.334260646265783,-339.6024464831804,FCF Negative
BHEL,Mar 2024,2024.0,-5044.0,1331.0,5.570669233666764,-1788.6524822695037,FCF Negative
BHEL,Sep 2024,2024.0,,,,,FCF Negative
BHEL,TTM,,,,,,FCF Negative
BOSCHLTD,Dec 2012,2012.0,47.0,824.0,9.516110405358587,4.906054279749479,FCF Positive
BOSCHLTD,Dec 2013,2013.0,211.0,846.0,9.660842754367934,23.84180790960452,FCF Positive
BOSCHLTD,Mar 2015,2015.0,213.0,1183.0,9.78818467648519,15.919282511210762,FCF Positive
BOSCHLTD,Mar 2016,2016.0,323.0,995.0,10.256674569631997,21.097322011757022,FCF Positive
BOSCHLTD,Mar 2017,2017.0,211.0,1246.0,11.940584571154767,12.11947156806433,FCF Positive
BOSCHLTD,Mar 2018,2018.0,559.0,1170.0,10.008554319931566,40.77315827862874,FCF Positive
BOSCHLTD,Mar 2019,2019.0,-1173.0,1766.0,14.6131568059578,-73.40425531914893,FCF Negative
BOSCHLTD,Mar 2020,2020.0,463.0,873.0,8.870148343832554,71.23076923076923,FCF Positive
BOSCHLTD,Mar 2021,2021.0,372.0,463.0,4.764354805515538,77.17842323651453,FCF Positive
BOSCHLTD,Mar 2022,2022.0,238.0,33.0,0.28008827024274313,19.556285949055052,FCF Positive
BOSCHLTD,Mar 2023,2023.0,952.0,262.0,1.7549735414294325,66.85393258426966,FCF Positive
BOSCHLTD,Mar 2024,2024.0,970.0,283.0,1.6918754110121361,38.95582329317269,FCF Positive
BOSCHLTD,Sep 2024,2024.0,,,,,FCF Negative
BOSCHLTD,TTM,,,,,,FCF Negative
BPCL,Mar 2013,2013.0,2322.0,3604.0,1.4881431656488329,119.93801652892562,FCF Positive
BPCL,Mar 2014,2014.0,2707.0,6881.0,2.602289530710496,66.79003207500617,FCF Positive
BPCL,Mar 2015,2015.0,10206.0,10536.0,4.342987163950238,200.82644628099175,FCF Positive
BPCL,Mar 2016,2016.0,1886.0,9233.0,4.916007773607007,23.315613796513784,FCF Positive
BPCL,Mar 2017,2017.0,-6233.0,15274.0,7.589527505453389,-65.56221731355843,FCF Negative
BPCL,Mar 2018,2018.0,4002.0,7066.0,2.9954004959833824,40.870098039215684,FCF Positive
BPCL,Mar 2019,2019.0,-294.0,10451.0,3.5043892886602777,-3.4474671669793624,FCF Negative
BPCL,Mar 2020,2020.0,-3254.0,11135.0,3.912893749209339,-88.76159301691217,FCF Negative
BPCL,Mar 2021,2021.0,20981.0,2474.0,1.0748530440411694,121.13741339491916,FCF Positive
BPCL,Mar 2022,2022.0,12198.0,8138.0,2.3466583619528762,104.417051874679,FCF Positive
BPCL,Mar 2023,2023.0,4660.0,7806.0,1.6496649316232272,218.67667761614265,FCF Positive
BPCL,Mar 2024,2024.0,25415.0,10521.0,2.3480024906099985,94.62377601548829,FCF Positive
